H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
1657,1214,1022,1020,349,44.5,18.5,2.14,2.28,0.38,2.9,37.4
1658,1215,1021,1020,346,44.7,18.4,2.14,2.28,0.42,3,30.7
1666,1224,1035,1039,346,45.8,18.2,2.14,2.29,0.43,3.4,29.5
1656,1206,1006,1043,345,46.2,18.4,2.14,2.3,0.43,3.6,25.8
1711,1268,1080,1093,355,46.8,19.1,2.18,2.34,0.4,3.6,29.9
1726,1286,1093,1107,366,45.9,20.5,2.2,2.37,0.39,3.7,25.8
1793,1370,1185,1168,384,45.3,23.6,2.18,2.36,0.39,3.6,20.4
1825,1410,1228,1203,393,44.3,24.8,2.25,2.46,0.5,3.9,26
1811,1408,1220,1212,410,42,27.7,2.19,2.36,0.43,3.6,26.7
1807,1409,1218,1219,418,41.9,27.8,2.23,2.42,0.42,3.5,19.3
1807,1419,1230,1226,432,41.9,28.1,2.29,2.47,0.42,3.3,33.3
1758,1365,1178,1182,452,40.7,28.1,2.31,2.48,0.45,3.2,35.2
1752,1358,1169,1173,464,40.8,27.4,2.28,2.47,0.46,4.3,29.6
1728,1321,1133,1139,470,42.2,25.5,2.27,2.46,0.49,4.9,28.7
1740,1333,1151,1136,466,43.4,24.4,2.31,2.52,0.53,4.2,39.1
1744,1347,1177,1128,470,45.3,23.4,2.34,2.53,0.54,3.7,38.4
1730,1321,1137,1126,468,45.8,23.1,2.25,2.38,0.53,3.2,24.3
1740,1327,1139,1127,459,46.6,22.6,2.24,2.36,0.49,3.6,18.8
1737,1316,1130,1126,453,46.9,22.5,2.18,2.28,0.43,4.2,13.8
1738,1323,1134,1126,443,47.2,22.5,2.16,2.24,0.42,3.7,14.5
1728,1311,1118,1126,437,48.4,22.2,2.16,2.25,0.44,3.3,14.9
1719,1296,1100,1134,446,49.3,22,2.2,2.32,0.47,2.9,14.6
1715,1296,1091,1134,453,50.8,21.7,2.2,2.31,0.46,2.4,15.3
1713,1287,1086,1126,451,51.6,21.5,2.24,2.37,0.59,2.6,19.8
1711,1281,1081,1135,463,53,21.1,2.24,2.4,0.53,2.9,22.8
1707,1276,1075,1141,464,53.6,21.1,2.26,2.43,0.56,3.2,41.9
1699,1267,1065,1137,462,54.1,21,2.28,2.46,0.55,3.1,31.2
1709,1280,1082,1139,464,54.7,20.7,2.24,2.4,0.53,3,24.5
1719,1296,1098,1150,465,54.9,20.8,2.24,2.36,0.41,3,21.1
1841,1455,1263,1281,478,55.4,21.7,2.24,2.35,0.34,3.1,21.4
1924,1595,1425,1331,499,51.1,27.5,2.2,2.31,0.33,2.9,21.1
1969,1706,1559,1360,567,42.7,34,2.19,2.27,0.32,2.9,14.8
1948,1686,1535,1341,579,39.4,35.4,2.12,2.18,0.29,2.8,26.8
1906,1621,1468,1304,609,37.5,35,2.13,2.19,0.26,2.9,30.7
1900,1615,1457,1298,611,37.5,34.2,2.13,2.18,0.34,3.1,17.1
1853,1548,1391,1263,615,36.7,34.5,2.12,2.17,0.26,3.1,31.6
1740,1395,1229,1160,590,37.2,30.5,2.13,2.19,0.27,3.2,34.5
1672,1298,1125,1086,576,37.7,28.3,2.11,2.17,0.33,3.7,34.8
1636,1249,1074,1038,539,42,21.5,2.11,2.16,0.29,3.8,13
1646,1257,1077,1048,537,43.6,20.3,2.1,2.15,0.28,4.2,13.5
1632,1232,1047,1034,498,44.1,20.3,2.09,2.13,0.27,5,9.4
1629,1228,1040,1012,489,44.3,19.7,2.07,2.11,0.26,4.2,13.8
1629,1218,1038,998,459,46.1,18,2.07,2.11,0.26,3.9,13.1
1641,1232,1055,1001,455,47.1,17.5,2.07,2.13,0.29,3.4,11.6
1636,1220,1040,1006,448,48.1,17.2,2.09,2.16,0.31,3,16.8
1628,1206,1014,999,438,49.4,16.7,2.11,2.2,0.31,3,19.6
1620,1194,999,999,431,49.8,16.5,2.12,2.22,0.3,3,16.3
1621,1195,998,987,421,50.6,16,2.13,2.22,0.3,3.3,30.7
1614,1179,976,983,419,50.9,15.8,2.13,2.23,0.29,3.3,23.4
1611,1171,971,987,401,51.3,15.6,2.13,2.24,0.36,3.4,32.5
1616,1176,976,991,403,51.2,15.6,2.16,2.27,0.36,3.3,20.1
1680,1245,1054,1053,406,51.8,15.5,2.17,2.29,0.37,1.8,21.8
1756,1338,1145,1135,418,53.6,17.4,2.21,2.32,0.4,1.2,21.1
1816,1421,1236,1204,432,48.5,22.2,2.24,2.34,0.4,1.6,23.2
1891,1572,1404,1269,475,41.5,28.8,2.26,2.36,0.39,1.5,19.5
1938,1651,1501,1296,498,38.3,31.8,2.24,2.34,0.36,1.6,25.4
1952,1693,1556,1298,545,35.2,34.5,2.2,2.29,0.32,1.7,25.7
1943,1676,1527,1299,560,34.5,35.1,2.21,2.31,0.34,1.5,23
1957,1708,1566,1309,574,33.7,36.2,2.27,2.38,0.47,1.8,21.5
1922,1664,1518,1282,581,32.6,37,2.23,2.34,0.43,1.8,21.8
1869,1580,1423,1235,571,32,36.2,2.22,2.34,0.46,2.1,24.9
1705,1346,1181,1078,537,32.9,31.3,2.17,2.32,0.48,2.8,23.3
1680,1308,1146,1046,529,35.8,25.8,2.18,2.34,0.48,2.8,19.6
1648,1264,1087,1013,498,40.4,21.5,2.15,2.36,0.52,2.7,18.5
1648,1262,1086,1007,485,41.6,20.6,2.13,2.25,0.47,2.8,17.1
1627,1221,1034,990,453,43,19.4,2.12,2.25,0.41,3.2,18.8
1619,1210,1014,988,448,43.3,18.9,2.11,2.27,0.39,1.7,22
1652,1246,1071,983,428,44,18,2.13,2.27,0.47,2.3,21.8
1636,1220,1040,981,418,44.6,17.5,2.15,2.34,0.43,2.2,22.6
1649,1235,1059,980,417,45.3,17.2,2.16,2.31,0.46,1.6,17.4
1632,1211,1019,970,412,46.4,16.6,2.16,2.32,0.46,1.7,23.3
1635,1213,1024,976,400,46.8,16.4,2.17,2.32,0.46,1.9,20.9
1644,1213,1023,979,403,47.8,16.1,2.18,2.34,0.48,2.1,34.3
1664,1235,1055,977,398,48.4,16.2,2.2,2.36,0.47,1.7,35.2
1640,1204,1010,983,390,49.6,16,2.21,2.36,0.45,1.6,27
1701,1273,1099,1006,394,50.7,15.8,2.26,2.42,0.52,2.1,27.8
1779,1360,1191,1076,390,51.9,16.3,2.29,2.46,0.42,2.5,19.5
1845,1454,1282,1176,415,48.5,23.6,2.25,2.43,0.42,2.2,19.3
1853,1471,1297,1200,418,44.5,25.6,2.3,2.48,0.39,2.1,21.8
1930,1597,1425,1291,447,41.7,29.4,2.38,2.58,0.44,2.5,20.8
1895,1558,1388,1258,452,38.9,32.5,2.35,2.58,0.42,2.6,25.2
1903,1586,1429,1259,490,37.6,32.5,2.45,2.69,0.43,2.2,25.9
1869,1539,1380,1249,501,37,32.8,2.55,2.82,0.46,2.4,24.1
1841,1511,1343,1223,531,36.9,32.3,2.56,2.89,0.6,2.9,39.6
1809,1467,1291,1197,526,36.7,31.9,2.44,2.73,0.64,3.3,49
1774,1420,1244,1166,527,37.5,30.1,2.44,2.74,0.71,3.9,43.3
1747,1372,1192,1131,502,40.1,26.4,2.58,2.93,0.67,6.3,46.5
1744,1371,1191,1127,497,42.3,25.1,2.33,2.56,0.65,6.2,31
1755,1369,1187,1142,495,44.7,24.8,2.27,2.46,0.63,5.3,21.8
1761,1378,1199,1152,500,46,24.7,2.26,2.46,0.41,4.2,17.8
1745,1358,1169,1157,511,48.3,24.2,2.26,2.44,0.39,4.5,17.3
1750,1358,1168,1161,527,49.5,23.9,2.25,2.4,0.37,4.8,19.6
1752,1356,1160,1172,526,51.5,23.7,2.23,2.37,0.42,4.6,17.4
1753,1356,1156,1173,528,52.2,23.7,2.24,2.35,0.4,4.5,22.6
