H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
2123,2021,2221,783,663,46.6,17.8,2.15,2.21,0.38,0.9,9.2
2120,2016,2221,781,666,46.4,17.8,2.16,2.23,0.39,0.8,11
2120,2024,2225,777,662,46.3,17.2,2.17,2.25,0.42,1.2,8.8
2121,2019,2224,766,657,46.3,17.2,2.18,2.26,0.39,1.5,9.3
2125,2021,2227,767,655,46,17,2.19,2.28,0.39,1.1,8.6
2129,2029,2229,780,656,46,17.2,2.2,2.29,0.4,0.7,9.2
2132,2026,2233,779,655,45.8,17.5,2.2,2.29,0.41,0.8,9.1
2129,2028,2227,786,656,45.8,17.2,2.23,2.33,0.42,1.5,9.5
2127,2023,2223,800,651,45.8,17.8,2.23,2.34,0.44,1.4,10.5
2161,2064,2218,933,672,45.2,21,2.27,2.37,0.48,1.2,9.7
2199,2095,2220,1021,688,43.4,25.7,2.25,2.36,0.5,0.9,10
2200,2097,2224,1010,694,43,28.9,2.28,2.37,0.51,1.3,8.7
2219,2112,2229,1056,705,43.6,29.7,2.23,2.33,0.55,0.7,7.8
2218,2098,2203,1085,718,43.1,31.3,2.27,2.38,0.58,0.5,9.9
2195,2068,2153,1101,742,43.5,33.1,2.29,2.4,0.58,0.1,9.2
2171,2042,2128,1089,752,43,33.9,2.29,2.4,0.6,1.5,7.8
2158,2032,2142,1001,750,45,30.3,2.3,2.41,0.58,1.2,9.5
2147,2028,2159,954,726,45.6,28.6,2.29,2.4,0.59,1.7,24.3
2136,2023,2179,894,718,47.5,24,2.26,2.36,0.55,2.5,7.5
2140,2021,2182,873,715,47.6,22.7,2.26,2.35,0.54,2.6,7.8
2132,2025,2186,855,709,47.3,21.6,2.22,2.3,0.5,2.7,6.9
2133,2017,2189,848,700,47.1,21.1,2.21,2.28,0.5,3.2,9.5
2131,2017,2187,844,693,47.1,20.6,2.19,2.25,0.46,2.8,6.4
2133,2017,2194,816,688,47,19.7,2.21,2.27,0.48,3.1,10.5
2131,2016,2192,819,685,46.8,19.5,2.21,2.28,0.5,3.1,7
2129,2012,2191,816,683,46.3,19.7,2.25,2.34,0.53,2.6,9.9
2128,2004,2190,796,682,46.2,19.4,2.28,2.38,0.56,2.4,10.6
2121,1998,2192,756,669,46.4,17.3,2.3,2.4,0.55,2.5,10.7
2117,1993,2192,749,666,46.6,16.7,2.33,2.44,0.56,2.5,9.8
2109,1983,2182,737,659,46.5,16.4,2.36,2.48,0.56,2.1,12.8
2110,1983,2188,733,658,46.3,15.6,2.35,2.46,0.56,2.2,11
2109,1982,2180,726,654,46.2,15.4,2.33,2.45,0.57,1.2,10.3
2120,1999,2156,848,671,46.7,17,2.33,2.44,0.62,1.2,10.4
2143,2012,2152,922,681,44.7,21.9,2.31,2.43,0.61,0.6,11.6
2222,2090,2176,1070,711,42.3,30.2,2.33,2.45,0.63,1.2,9.8
2235,2104,2182,1101,725,41,33.5,2.4,2.55,0.59,0.8,9.6
2269,2133,2213,1124,752,40.9,35.3,2.3,2.42,0.57,0.7,10.1
2278,2153,2237,1126,768,41.7,35.6,2.34,2.47,0.54,0.1,12.9
2294,2171,2256,1136,784,43,35.5,2.43,2.56,0.51,0.1,12.5
2334,2214,2288,1163,814,42.1,37.8,2.33,2.43,0.46,0.3,12.8
2334,2219,2304,1144,819,42.2,38,2.23,2.32,0.38,0.5,13.7
2291,2175,2306,1013,810,44.4,34.7,2.21,2.29,0.36,1.1,10.1
2276,2170,2328,942,790,47.6,28.9,2.17,2.25,0.33,2.4,8.5
2258,2159,2346,861,775,49.3,22.5,2.14,2.21,0.33,2.8,7.1
2254,2149,2345,833,765,49.5,20.9,2.12,2.18,0.32,3,9
2240,2134,2338,794,755,48.7,19,2.09,2.14,0.28,2.5,5.4
2231,2126,2334,784,749,48.5,18.2,2.06,2.12,0.21,1.4,8.3
2219,2113,2320,781,740,48.3,18,2.09,2.15,0.26,1.2,6.6
2168,2063,2262,752,735,47.5,17.3,2.11,2.17,0.28,1.6,7.8
2156,2034,2242,748,730,47.5,16.5,2.13,2.2,0.3,2,8.4
2111,1994,2187,733,721,47,16.4,2.13,2.2,0.3,1.8,8.3
2096,1969,2163,720,715,46.8,15.8,2.17,2.25,0.3,2.2,9
2063,1929,2114,720,711,46.6,15.2,2.29,2.41,0.34,1.7,10.1
2033,1903,2084,706,705,46.4,15,2.41,2.57,0.38,1.6,10.5
2016,1883,2060,703,706,46.3,14.9,2.45,2.62,0.42,1.3,13.8
1990,1853,2006,704,704,46,14.5,2.46,2.64,0.44,1.9,12.8
2001,1866,1984,812,708,46.4,15,2.53,2.71,0.46,2.3,12.2
2119,1952,1993,1040,748,43.6,27.5,2.51,2.66,0.46,2.7,12.6
2169,2003,2028,1122,766,41.9,32.4,2.71,2.87,0.47,1.7,13.8
2201,2033,2036,1171,807,39.7,39.4,2.76,2.94,0.47,2.1,13
2206,2031,2034,1176,819,39.9,39.3,2.6,2.76,0.44,1.7,12.5
2165,1999,2004,1118,828,43.4,36.2,2.6,2.76,0.43,1.1,12.6
2174,2002,2001,1138,832,44.7,35.4,2.6,2.78,0.41,0.7,13
2190,2017,2007,1148,842,43.2,36.7,2.54,2.7,0.45,1.8,12.4
2131,1951,1947,1093,839,43.2,37,2.37,2.51,0.47,3.3,16.1
2083,1899,1905,1019,836,44.3,34.3,2.3,2.41,0.45,5.5,18.2
1973,1799,1842,853,797,49,24.7,2.25,2.33,0.41,4,13.3
1949,1775,1822,816,784,49.8,21.9,2.19,2.26,0.36,2.3,12.2
1917,1743,1792,775,771,49.3,19.7,2.14,2.2,0.33,3.5,7.9
1906,1728,1774,764,767,49,18.9,2.11,2.16,0.34,3.5,7.1
1885,1697,1742,733,752,48.2,17.8,2.11,2.16,0.33,3.5,8
1875,1686,1730,733,747,48.1,17.2,2.13,2.16,0.39,3.5,9.2
1870,1678,1713,730,743,47.9,17.2,2.13,2.16,0.42,3.8,8.6
1848,1648,1678,718,734,47.2,16.8,2.14,2.18,0.41,4.3,7.7
1836,1632,1657,713,731,47,16.6,2.16,2.22,0.43,4.4,7.4
1808,1599,1621,687,721,46.7,15.6,2.19,2.27,0.46,4,10.4
1795,1582,1606,669,718,46.5,15.3,2.26,2.36,0.48,3.8,13.5
1778,1558,1571,652,706,46.2,14.3,2.43,2.57,0.52,3.6,15.5
1772,1535,1556,657,706,46.3,13.9,2.49,2.63,0.52,3.3,15
1760,1525,1519,675,707,46.1,14,2.42,2.55,0.53,2.2,16.6
1853,1611,1574,824,721,46.3,15.1,2.48,2.61,0.51,1.4,14.4
1938,1688,1617,952,737,46.6,21.7,2.6,2.7,0.52,1.5,13.5
2064,1820,1730,1114,774,41.2,33.9,2.54,2.66,0.5,1.1,14.1
2121,1885,1808,1148,797,39.9,37.3,2.44,2.56,0.42,1.3,12.2
2194,1979,1932,1147,816,39.9,38.9,2.34,2.44,0.36,0.7,9.7
2221,2013,1988,1144,829,41,38.2,2.4,2.5,0.31,0.1,7.7
2289,2112,2102,1173,848,43.1,37.4,2.37,2.5,0.32,0,10.9
2312,2135,2136,1168,855,41.8,39,2.44,2.59,0.37,0.1,13.9
2334,2162,2177,1165,862,41.9,38.9,2.44,2.56,0.44,1.2,15.6
2320,2155,2224,1038,846,43.9,36.1,2.39,2.49,0.38,2.8,11.9
2310,2160,2270,944,831,46.6,31,2.28,2.35,0.3,3.8,9.3
2312,2170,2333,865,802,49.5,23.4,2.19,2.26,0.27,3.1,10.9
2318,2177,2350,845,800,49.5,22,2.1,2.16,0.22,1.4,5
2332,2192,2388,805,781,48.5,20.1,2.1,2.16,0.23,1.1,11.8
2322,2191,2390,787,773,48.5,18.8,2.11,2.16,0.22,0.8,7.2
2265,2126,2317,784,767,47.7,19.1,2.11,2.16,0.26,1.6,11.3
2243,2104,2289,771,761,47.2,18.8,2.11,2.16,0.28,1.6,12.7
2223,2081,2269,752,752,46.8,17.9,2.13,2.19,0.32,2,18.1
2174,2021,2201,727,749,46.8,16.9,2.16,2.22,0.35,3,23.4
2146,1996,2168,725,742,46.5,16.6,2.15,2.22,0.34,3.1,19.3
2096,1937,2101,704,730,46.2,16.1,2.25,2.33,0.37,2.1,14.6
2082,1922,2083,707,733,46.2,16,2.4,2.5,0.47,1.3,21.8
2036,1880,2013,708,729,46,15.9,2.34,2.44,0.37,1.8,16.7
2020,1859,1981,721,724,45.9,16,2.45,2.58,0.43,1.4,15.2
2040,1874,1965,804,729,45.8,16.8,2.35,2.5,0.38,0.3,15.4
2171,1992,1991,1072,778,42.5,29.9,2.33,2.5,0.32,0.6,9.8
2218,2034,2022,1143,799,41.6,34.8,2.26,2.4,0.29,0.5,10
-200,-200,-200,-200,-200,-200,-200,2.29,2.4,0.29,0.9,8.7
2368,2211,2229,1212,859,39.3,41.5,2.24,2.35,0.3,2.5,11.4
-200,-200,-200,-200,-200,-200,-200,2.28,2.4,0.29,3.4,13.4
2482,2354,2415,1229,891,42.8,40,2.29,2.39,0.3,1.9,14.7
2559,2448,2520,1256,914,40.7,42.8,2.26,2.35,0.29,1.5,12.4
2585,2465,2559,1234,917,40.9,42.8,2.15,2.24,0.31,5.5,14.3
2595,2481,2597,1194,912,42.2,41.1,2.15,2.22,0.28,4.1,10.6
2582,2476,2672,990,879,48.2,31.2,2.07,2.12,0.18,2,6.9
2593,2486,2703,954,874,49.7,27.4,2.06,2.11,0.15,0.9,4.6
2559,2469,2701,919,850,49.4,24.5,2.04,2.09,0.15,1.5,10.3
2542,2438,2673,895,845,48.9,23.9,2.05,2.09,0.17,2,6.7
2485,2382,2621,864,831,48,22.7,2.05,2.09,0.17,3.5,8
2464,2359,2591,868,827,47.9,21.9,2.09,2.13,0.16,5.3,9.2
2415,2307,2530,852,815,47.3,21.9,2.12,2.16,0.21,4.6,11.2
2384,2273,2494,845,807,46.8,21.9,2.14,2.19,0.29,2.5,15.3
2353,2243,2461,816,801,46.5,21.3,2.12,2.18,0.28,3.7,12
2306,2193,2402,807,789,46.7,19.7,2.18,2.25,0.31,3.1,10.4
2282,2164,2373,786,786,46.5,19.7,2.27,2.38,0.37,3.5,13.7
2235,2114,2316,788,775,46.4,18.9,2.41,2.53,0.42,3.1,16.8
2210,2093,2282,783,778,46.2,19.1,2.36,2.46,0.43,2.7,16.1
2179,2058,2213,830,776,46,19.7,2.45,2.59,0.43,3.7,16.6
2192,2072,2203,902,782,45.2,22,2.35,2.59,0.35,4,13.2
2250,2123,2206,1038,804,44.2,25.5,2.25,2.4,0.34,5.5,12.9
